,delay,packet_loss,netstream_upward,netstream_downward
7951,6.055555556,0.0,705528.0,387545.0
7952,6.222222222,0.0,806212.0,419947.0
7953,6.611111111,0.0,818480.0,612089.0
7954,6.555555556,0.0,762121.0,346233.0
7955,6.555555556,0.0,905844.0,561240.0
7956,6.277777778,0.0,1454356.0,16002175.0
7957,6.277777778,0.0,771256.0,419375.0
7958,5.722222222,0.0,824033.0,595752.0
7959,6.611111111,0.0,868653.0,3035742.0
7960,5.611111111,0.0,756648.0,440343.0
7961,6.333333333,0.0,983382.0,587024.0
7962,6.444444444,0.0,1695110.0,16703239.0
7963,6.0,0.0,819673.0,692667.0
7964,5.833333333,0.0,985590.0,2320766.0
7965,6.277777778,0.0,939200.0,740803.0
7966,6.722222222,0.0,1031496.0,963520.0
7967,5.777777778,0.0,1210246.0,1635935.0
7968,6.5,0.0,2173944.0,18861168.0
7969,6.166666667,0.333333333,924597.0,1600872.0
7970,5.666666667,0.0,886812.0,781081.0
7971,5.666666667,0.0,863045.0,1012744.0
7972,5.944444444,0.0,936116.0,1793815.0
7973,5.611111111,0.0,1339908.0,2590484.0
7974,6.055555556,0.0,3538407.0,29225845.0
7975,6.5,0.0,894949.0,4187743.0
7976,6.333333333,0.0,993124.0,1442035.0
7977,6.5,0.0,974200.0,2824915.0
7978,6.166666667,0.0,1357111.0,7040069.0
7979,5.666666667,0.333333333,966594.0,1116419.0
7980,6.333333333,0.0,2144818.0,24765629.0
7981,6.222222222,0.0,793794.0,772008.0
7982,6.388888889,0.0,2233996.0,9509043.0
7983,5.722222222,0.0,1021005.0,900590.0
7984,5.611111111,0.0,977933.0,787548.0
7985,6.222222222,0.0,1311802.0,1488807.0
7986,6.444444444,0.0,1588486.0,17566301.0
7987,5.833333333,0.0,801458.0,591853.0
7988,6.055555556,0.0,841433.0,532299.0
7989,6.0,0.0,1392109.0,10899916.0
7990,6.222222222,0.0,1460385.0,4376841.0
7991,5.666666667,0.0,1078930.0,1109465.0
7992,6.555555556,0.0,1577741.0,17968839.0
7993,5.5,0.0,764372.0,420418.0
7994,6.222222222,0.0,800449.0,709333.0
7995,6.277777778,0.0,932387.0,549418.0
7996,6.555555556,0.0,1253384.0,6687130.0
7997,6.611111111,0.0,1041167.0,1011840.0
7998,6.5,0.0,2271987.0,20286599.0
7999,6.611111111,0.0,782949.0,956473.0
8000,6.0,0.0,4361898.0,34897454.0
8001,5.944444444,0.0,4467127.0,39557975.0
8002,6.5,0.0,2487393.0,55837862.0
8003,6.611111111,0.0,3231766.0,74806941.0
8004,6.533333333,0.0,3026498.0,51808991.0
8005,6.0,0.0,2412269.0,52661332.0
8006,6.5,0.0,2467759.0,49124543.0
8007,6.476190476,0.0,2826348.0,43443507.0
8008,6.0,0.0,5596781.0,42260221.0
8009,6.5,0.0,3330812.0,39030246.0
8010,6.666666667,0.0,3381381.0,63681066.0
8011,6.611111111,0.0,2384731.0,40372929.0
8012,6.444444444,0.0,846290.0,1007317.0
8013,6.111111111,0.0,810040.0,633079.0
